"Now Shopping by","Huidige filters"
"Add Locale","Locale toevoegen"
"Add Date","Datum toevoegen"
"Days in Wish List","Dagen in verlanglijst"
"Delete Image","Verwijder afbeelding"
"View Full Size","Bekijk op ware grootte"
"All countries","Alle landen"
"Add New Customer Group","Nieuwe klantgroep toevoegen"
"Save Customer Group","Klantgroep opslaan"
"Delete Customer Group","Klantgroep verwijderen"
"New Customer Group","Nieuwe klantgroep"
"Edit Customer Group ""%1""","Wijzig klantgroep ""%1"""
"Group Information",Groepsgegevens
"Group Name",Groepsnaam
"Maximum length must be less then %1 characters.","Maximale lengte moet minder dan %1 karakters zijn."
"The customer is now assigned to Customer Group %s.","De klant is nu toegewezen aan klantgroep %s."
"Would you like to change the Customer Group for this order?","Wilt u de klantgroep veranderen voor deze bestelling?"
"The VAT ID is valid.","Het BTW nummer is geldig."
"The VAT ID entered (%s) is not a valid VAT ID.","Het ingevulde BTW-nummer (%s) is geen geldig BTW-nummer."
"The VAT ID is valid. The current Customer Group will be used.","BTW-nummer is geldig, de huidige klantgroep zal worden gebruikt."
"The VAT ID is valid but no Customer Group is assigned for it.","Het BTW-nummer is geldig maar er is geen klantgroep toegewezen."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Gebaseerd op het BTW-nummer, zou de klant tot klantgroep %s behoren."
"Something went wrong while validating the VAT ID.","Er ging iets mis tijdens het valideren van het BTW nummer."
"The customer would belong to Customer Group %s.","De klant zou behoren tot de groep Customer %s."
"There was an error detecting Customer Group.","Er is een fout opgetreden bij Klant Groep."
"Validate VAT Number","Valideer BTW-nummer"
"Customer Login","Klant Login"
"Create New Customer Account","Nieuw account aanmaken"
"Date of Birth",Geboortedatum
"This confirmation key is invalid or has expired.","Deze bevestiging sleutel is ongeldig of is verlopen."
"There was an error confirming the account","Er is een fout opgetreden tijdens het bevestiging van het account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw verzendadres in te voeren voor een juiste BTW-berekening."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw factuuradres in te voeren voor een juiste BTW-berekening."
"Thank you for registering with %1.","Bedankt voor uw registratie bij %1."
"Please check your email for confirmation key.","Controleer uw email voor de bevestigingscode."
"This email does not require confirmation.","Deze e-mail hoeft niet bevestigt te worden"
"Wrong email.","Onjuist e-mailadres."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Er is al een account met dit e-mailadres. Als u zeker weet dat is het uw e-mailadres is, <a href=""%1"">kunt u een nieuw wachtwoord aanvragen</a>."
"We can't save the customer.","We kunnen de klant niet opslaan."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw verzendadres in te voeren voor een juiste BTW-berekening."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw factuuradres in te voeren voor een juiste BTW-berekening."
"You saved the account information.","U heeft de accountgegevens opgeslagen."
"Password confirmation doesn't match entered password.","Wachtwoord-bevestiging komt niet overeen met ingegeven wachtwoord."
"The password doesn't match this account.","Het wachtwoord komt niet overeen met dit account."
"Please correct the email address.","Corrigeer het e-mailadres."
"Please enter your email.","Voer uw e-mailadres in."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Als er een account is gekoppeld aan %1, ontvangt u een e-mail met een link om uw wachtwoord opnieuw in te stellen."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Deze account is niet bevestigd. <a href=""%1"">Klik hier</a> om de bevestigingsmail opnieuw te verzenden."
"An unspecified error occurred. Please contact us for assistance.","Een niet nader gekende fout deed zich voor. Neem contact met ons op voor hulp."
"A login and a password are required.","Gebruikersnaam en wachtwoord zijn verplicht."
"New Password and Confirm New Password values didn't match.","Het nieuwe wachtwoord en de bevestiging van het nieuwe wachtwoord komen niet overeen."
"Please enter a new password.","Voer een nieuw wachtwoord."
"Something went wrong while saving the new password.","Er ging iets mis bij het opslaan van het nieuwe wachtwoord."
"You deleted the address.","U hebt het adres verwijderd."
"We can't delete the address right now.","We kunnen het adres op dit moment niet verwijderen."
"You saved the address.","U hebt het adres opgeslagen."
"We can't save the address.","We kunnen het adres niet opslaan."
"No customer ID defined.","Geen klant ID gedefinieerd."
"Please correct the quote items and try again.","Corrigeer de genoemde onderdelen en probeer het opnieuw."
"You have revoked the customer's tokens.","U hebt de klanten toegang ingetrokken voor de huidige sleutels."
"We can't find a customer to revoke.","We kunnen geen klant vinden om in te trekken."
"Something went wrong while saving file.","Er ging iets mis bij het opslaan van de bestanden."
"You deleted the customer group.","U heeft de klantgroep verwijderd."
"The customer group no longer exists.","De klantgroep bestaat niet langer."
"New Group","Nieuwe groep"
"New Customer Groups","Nieuwe klantgroepen"
"Edit Group","Groep bewerken"
"Edit Customer Groups","Klantgroepen bewerken"
"You saved the customer group.","U heeft de klantgroep opgeslagen."
"Please select customer(s).","Selecteer klant(en)."
"Customer could not be deleted.","Klant kon niet verwijderd worden."
"You deleted the customer.","Klant verwijderd."
"Something went wrong while editing the customer.","Er ging iets mis tijdens het bewerken van de klant."
"The customer will receive an email with a link to reset password.","De klant ontvangt een e-mail met een link om het wachtwoord opnieuw instellen."
"Something went wrong while resetting customer password.","Er ging iets mis tijdens het opnieuw instellen van het wachtwoord van de klant."
"You saved the customer.","U heeft de klant opgeslagen."
"Something went wrong while saving the customer.","Er ging iets mis bij het opslaan van de klant."
"Customer has been unlocked successfully.","Klant is ontgrendeld."
"Online Customers","Online klanten"
"Customers Now Online","Klanten nu online"
"Please define Wish List item ID.","Geef verlanglijstje item-ID."
"Please load Wish List item.","Gelieve wens lijst item te laden. "
"Login successful.","Succesvol ingelogd."
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"""%1"" section source is not supported","""%1"" sectie bron wordt niet ondersteund"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 is geen uitbreiding van \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Geen bevestiging nodig."
"Account already active","Account is reeds actief"
"Invalid confirmation token","Ongeldige bevestigingssleutel"
"This account is not confirmed.","Dit account is niet bevestigd."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Ongeldige waarde van ""value"" opgegeven voor het veld %fieldName. Mogelijke waarden: %template1 of %template2."
"Please enter a password with at most %1 characters.","Voer een wachtwoord in met ten hoogste %1 tekens."
"Please enter a password with at least %1 characters.","Voer een wachtwoord in met ten minste %1 tekens."
"The password can't begin or end with a space.","Het wachtwoord kan niet beginnen of eindigen met een spatie."
"Password cannot be the same as email address.","Wachtwoord kan niet hetzelfde zijn het e-mailadres."
"This customer already exists in this store.","Deze klant bestaat al in deze winkel."
"A customer with the same email already exists in an associated website.","Een klant met hetzelfde e-mailadres bestaat al in een verwante website."
"Reset password token mismatch.","De code om het wachtwoord te resetten is niet juist."
"Reset password token expired.","De code om het wachtwoord te resetten is verlopen."
"Please correct the transactional account email type.","Corrigeer het transactionele account email type."
"Per Website","Per website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We kunnen geen klanten accounts wereldwijd verspreiden indien de accounts identieke email adressen bevatten op meerdere websites."
"Please enter a valid password reset token.","Voer een geldig wachtwoord reset sleutel in."
"The password can not begin or end with a space.","Het wachtwoord kan niet beginnen of eindigen met een spatie."
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Geen dergelijke entiteit met %fieldName = %fieldValue, %field2Name = %field2Value"
"Unable to create directory %1.","Niet mogelijk om folder aan te maken: %1."
"Destination folder is not writable or does not exists.","Doelmap is niet schrijfbaar of bestaat niet."
"Something went wrong while saving the file.","Er ging iets mis bij het opslaan van het bestand."
"""%1"" is not a valid image format.","""%1"" is geen geldig afbeeldingsformaat."
"Please enter a customer email.","Voer een klant e-mailadres in."
"A customer website ID must be specified when using the website scope.","Klant website-ID moet opgegeven zijn bij het gebruik van de website-scope."
"You can't delete group ""%1"".","U kunt groep ""%1"" niet verwijderen."
"Customer Group already exists.","Klantgroep bestaat reeds."
"Cannot delete group.","Kan groep niet verwijderen."
"Error during VAT Number verification.","Fout tijdens verificatie van het BTW-nummer."
"PHP SOAP extension is required.","PHP SOAP extensie is nodig."
"VAT Number is valid.","Het BTW nummer is geldig."
"Please enter a valid VAT number.","Voer een geldig BTW nummer in."
"Your VAT ID was successfully validated.","Uw BTW-nummer is met succes gevalideerd."
"You will be charged tax.","Er zal BTW gerekend worden."
"You will not be charged tax.","Er zal geen BTW gerekend worden."
"The VAT ID entered (%1) is not a valid VAT ID.","Het ingevulde BTW-nummer (%1) is geen geldig BTW-nummer."
"Your Tax ID cannot be validated.","Uw BTW-nummer kan niet gevalideerd worden."
"If you believe this is an error, please contact us at %1","Als u denkt dat dit niet juist is, neemt u dan contact met ons op via %1"
Male,Man
Female,Vrouw
"Not Specified","Niet Gespecificeerd"
"Thank you for registering with","Bedankt voor uw registratie bij"
"enter your billing address for proper VAT calculation","voer uw factuuradres in voor een juiste BTW-berekening"
"enter your shipping address for proper VAT calculation","voer uw verzendadres in voor juiste BTW-berekening"
"Please enter new password.","Voer een nieuw wachtwoord in."
InputException.,Invoer-uitzondering.
InputException,"Invoer uitzondering"
"Validator Exception","Validatie Fout"
"Localized Exception","Localizatie Fout"
"NOT LOGGED IN","NIET INGELOGD"
"region is a required field.","regio is een verplicht veld."
"regionId is a required field.","regionId is een verplicht veld."
Visitor,Bezoeker
"Last Logged In:","Laatst ingelogd"
"Last Logged In (%1):","Laatst ingelogd (%1):"
"Account Lock:","Account geblokkeerd:"
"Confirmed email:","Bevestigde email:"
"Account Created:","Account aangemaakt:"
"Account Created on (%1):","Account aangemaakt op (%1):"
"Account Created in:","Account gemaakt in:"
"Customer Group:",Klantgroep:
"Sales Statistics",Verkoopstatistiek
"Average Sale","Gemiddeld bedrag"
